@relation chunks

@attribute velocidade_maxima numeric
@attribute aceleracao_maxima numeric
@attribute mudancas_de_direcao numeric
@attribute modo_de_transporte {MOTORIZADO,NAO_MOTORIZADO}

@data
4.170791,2.22951,48,NAO_MOTORIZADO
4.473339,1.9887453,42,NAO_MOTORIZADO
3.1708164,3.1708164,33,NAO_MOTORIZADO
2.572644,0.8928565,35,NAO_MOTORIZADO
2.3081152,0.41470957,28,NAO_MOTORIZADO
2.0889525,0.45504427,18,NAO_MOTORIZADO
2.902509,0.7726523,40,NAO_MOTORIZADO
6.528449,4.8626866,30,NAO_MOTORIZADO
5.0649667,5.0649667,25,NAO_MOTORIZADO
2.9654105,0.79188514,35,NAO_MOTORIZADO
2.2540932,1.3489186,42,NAO_MOTORIZADO
2.3230724,0.98391414,31,NAO_MOTORIZADO
2.7029812,1.0393085,18,NAO_MOTORIZADO
3.4593318,0.8258436,42,NAO_MOTORIZADO
1.9572582,1.0685157,36,NAO_MOTORIZADO
2.5853019,0.96144724,40,NAO_MOTORIZADO
6.917316,6.917316,14, NAO_MOTORIZADO
9.640953,8.627828,22, NAO_MOTORIZADO
6.9504647,6.9504647,17, NAO_MOTORIZADO
5.1775956,5.1775956,33, NAO_MOTORIZADO
4.170791,2.22951,48,NAO_MOTORIZADO
4.473339,1.9887453,42,NAO_MOTORIZADO
3.1708164,3.1708164,33,NAO_MOTORIZADO
2.572644,0.8928565,35,NAO_MOTORIZADO
2.3081152,0.41470957,28,NAO_MOTORIZADO
2.0889525,0.45504427,18,NAO_MOTORIZADO
2.902509,0.7726523,40,NAO_MOTORIZADO
6.528449,4.8626866,30,NAO_MOTORIZADO
5.0649667,5.0649667,25,NAO_MOTORIZADO
2.9654105,0.79188514,35,NAO_MOTORIZADO
2.2540932,1.3489186,42,NAO_MOTORIZADO
2.3230724,0.98391414,31,NAO_MOTORIZADO
2.7029812,1.0393085,18,NAO_MOTORIZADO
3.4593318,0.8258436,42,NAO_MOTORIZADO
1.9572582,1.0685157,36,NAO_MOTORIZADO
2.5853019,0.96144724,40,NAO_MOTORIZADO
6.917316,6.917316,14, NAO_MOTORIZADO
9.640953,8.627828,22, NAO_MOTORIZADO
6.9504647,6.9504647,17, NAO_MOTORIZADO
5.1775956,5.1775956,33, NAO_MOTORIZADO
3.6084497,3.6084497,33, NAO_MOTORIZADO
3.4541702,3.4102843,42, NAO_MOTORIZADO
3.2921913,0.869187,41, NAO_MOTORIZADO
5.0884347,5.0884347,30, NAO_MOTORIZADO
3.0084598,2.1722383,35, NAO_MOTORIZADO
4.180239,4.180239,41, NAO_MOTORIZADO
4.5859723,4.5859723,37, NAO_MOTORIZADO
4.1310945,3.787774,50, NAO_MOTORIZADO
5.412274,5.412274,28, NAO_MOTORIZADO
1.714168,0.5357318,32,NAO_MOTORIZADO
5.4429407,3.3596623,42, NAO_MOTORIZADO
4.7068863,2.380313,20, NAO_MOTORIZADO
9.40726,6.0914392,24, NAO_MOTORIZADO
5.991388,4.59293,25, NAO_MOTORIZADO
2.6318848,2.1667323,32, NAO_MOTORIZADO
5.815601,3.667763,44, NAO_MOTORIZADO
4.4877625,3.0491767,40, NAO_MOTORIZADO
2.6036248,1.4294477,44, NAO_MOTORIZADO
2.3526626,1.6139026,43, NAO_MOTORIZADO
4.239428,3.3571603,46, NAO_MOTORIZADO
5.8491354,1.2297027,31, NAO_MOTORIZADO
4.891,1.2621193,35, NAO_MOTORIZADO
3.9297223,1.6758226,39, NAO_MOTORIZADO
6.2089834,2.2191408,30, NAO_MOTORIZADO
6.4388885,5.8297734,4, NAO_MOTORIZADO
4.547035,3.421208,38, NAO_MOTORIZADO
5.43162,2.8019438,40, NAO_MOTORIZADO
5.111982,1.0422962,38, NAO_MOTORIZADO
4.1902885,2.1570482,46, NAO_MOTORIZADO
12.889786,9.831289,35, NAO_MOTORIZADO
6.562398,1.7138844,45, NAO_MOTORIZADO
12.813365,9.694226,44, NAO_MOTORIZADO
8.9500675,1.6186947,36, NAO_MOTORIZADO
7.233306,1.4937634,37, NAO_MOTORIZADO
7.7571387,5.8751383,39, NAO_MOTORIZADO
5.3063293,3.6555688,36, NAO_MOTORIZADO
5.5680876,4.9588194,30, NAO_MOTORIZADO
3.0915534,3.0408025,24, NAO_MOTORIZADO
0.498358,0.498358,4, NAO_MOTORIZADO
0.6657006,0.6657006,7, NAO_MOTORIZADO
7.0276923,7.0276923,1, NAO_MOTORIZADO
0.29558757,0.29558757,6, NAO_MOTORIZADO
0.233352,0.233352,3, NAO_MOTORIZADO
1.4713111,1.462051,5, NAO_MOTORIZADO
0.1466784,0.14002883,3, NAO_MOTORIZADO
17.174383,17.174383,5, NAO_MOTORIZADO
1.4290464,1.4290464,6, NAO_MOTORIZADO
0.37781453,0.26658225,6, NAO_MOTORIZADO
2.3410666,1.9234787,2, NAO_MOTORIZADO
5.1979995,5.1979995,15, NAO_MOTORIZADO
10.63746,10.123201,15, NAO_MOTORIZADO
23.310053,20.777857,9, NAO_MOTORIZADO
42.990147,41.65683,13, NAO_MOTORIZADO
4.52328,0.873961,33, NAO_MOTORIZADO
5.6619563,1.9878478,37, NAO_MOTORIZADO
8.098187,1.0341954,36, NAO_MOTORIZADO
5.885459,1.8145857,31, NAO_MOTORIZADO
6.581168,1.1625075,30, NAO_MOTORIZADO
6.017022,0.8918016,25, NAO_MOTORIZADO
8.021881,0.73650503,16, NAO_MOTORIZADO
7.0276923,7.0276923,1, NAO_MOTORIZADO
0.29558757,0.29558757,6, NAO_MOTORIZADO
0.233352,0.233352,3, NAO_MOTORIZADO
1.4713111,1.462051,5, NAO_MOTORIZADO
0.1466784,0.14002883,3, NAO_MOTORIZADO
17.174383,17.174383,5, NAO_MOTORIZADO
1.4290464,1.4290464,6, NAO_MOTORIZADO
0.37781453,0.26658225,6, NAO_MOTORIZADO
2.3410666,1.9234787,2, NAO_MOTORIZADO
5.1979995,5.1979995,15, NAO_MOTORIZADO
10.63746,10.123201,15, NAO_MOTORIZADO
23.310053,20.777857,9, NAO_MOTORIZADO
42.990147,41.65683,13, NAO_MOTORIZADO
